Data Source,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67
Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,73.26259847,73.31897505,73.40265203,73.39071361,73.47062045,73.62832541,73.67881084,73.65003007,73.58646036,73.50623028,73.44161828,73.3775811,73.35603164,73.34589188,73.3134042,73.29623491,73.13835457,72.92842955,72.70701643,72.3173933,71.66309955,72.1243236,72.09261357,72.06576973,71.17254722,70.85124504,70.38512513,69.75087529,69.34287942,69.00483912,67.48008301,68.04997499,68.30752687,70.69060628,70.59426479,
Afghanistan,48.337,48.278,48.212,48.137,48.053,47.966,47.882,47.801,47.725,47.658,47.602,47.56,47.534,47.525,47.534,47.562,47.605,47.662,47.73,47.803,47.883,47.967,48.055,48.153,48.248,48.339,48.429,48.521,46.762,44.991,42.596,41.903,38.6,38.634,38.459,
Africa Western and Central,77.49101454,77.50398812,77.38401217,77.40037896,77.39857048,77.35609763,77.24147756,77.1563285,77.07742146,77.04653802,76.93091376,76.80470915,76.52235118,76.33973304,76.14983255,75.97345076,75.80550669,75.61430362,75.32632873,75.00488173,74.68956648,74.46979908,74.20036214,73.84596847,73.47782444,73.21399716,73.14176266,72.67150722,72.44769282,72.24805706,71.67665308,71.77562002,71.78913046,72.32453107,72.19236157,
Angola,77.731,77.781,77.807,77.771,77.808,77.862,77.897,77.904,77.896,77.876,77.855,77.832,77.837,77.809,77.808,77.824,77.835,77.859,77.881,77.875,77.883,77.867,77.636,77.402,77.165,76.926,76.686,76.444,76.202,75.959,75.686,77.388,76.46,76.592,76.553,
Albania,66.456,69.088,69.788,69.113,68.573,67.723,67.201,68.174,67.657,66.93,66.624,66.253,66.172,65.239,64.299,63.36,62.426,61.484,60.521,62.932,63.348,68.097,64.417,59.711,61.319,64.087,66.179,66.919,68.305,69.661,67.153,68.57,70.893,71.301,72.028,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,49.21588099,49.25286086,49.46361213,49.70421846,49.90337143,49.63975001,49.4663205,49.26131321,49.02035212,49.45547388,49.12112769,48.56025516,47.90678296,48.05547922,48.22086801,48.41159165,48.66140131,48.94064183,48.92984941,49.0336042,49.50121185,49.53794218,49.26211296,49.37977989,49.43269927,48.93896401,48.88164948,48.09693122,47.62929522,47.39888261,46.31595363,46.59693481,46.99370113,47.99973966,47.88988981,
United Arab Emirates,75.269,75.511,75.793,76.291,76.638,77.004,76.876,76.211,75.737,75.487,75.451,75.63,76.019,76.579,77.261,78.003,78.552,78.541,78.15,77.618,77.629,77.854,78.05,78.343,78.687,79.014,79.452,79.756,80.114,80.328,79.67,78.09,78.319,78.581,78.881,
